id,evaluation_id/id,test_id/id,result,test_selection_id/id
kinesis_athletics_x.evaluation_detail_101,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_17,,kinesis_athletics_x.test_selection_8
kinesis_athletics_x.evaluation_detail_102,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_18,,kinesis_athletics_x.test_selection_10
kinesis_athletics_x.evaluation_detail_103,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_19,,kinesis_athletics_x.test_selection_13
kinesis_athletics_x.evaluation_detail_104,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_20,,kinesis_athletics_x.test_selection_23
kinesis_athletics_x.evaluation_detail_105,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_21,,kinesis_athletics_x.test_selection_24
kinesis_athletics_x.evaluation_detail_106,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_22,,kinesis_athletics_x.test_selection_27
kinesis_athletics_x.evaluation_detail_107,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_23,,kinesis_athletics_x.test_selection_29
kinesis_athletics_x.evaluation_detail_108,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_24,,kinesis_athletics_x.test_selection_30
kinesis_athletics_x.evaluation_detail_109,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_25,,kinesis_athletics_x.test_selection_32
kinesis_athletics_x.evaluation_detail_110,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_26,,kinesis_athletics_x.test_selection_18
kinesis_athletics_x.evaluation_detail_111,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_27,,kinesis_athletics_x.test_selection_20
kinesis_athletics_x.evaluation_detail_112,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_28,,kinesis_athletics_x.test_selection_36
kinesis_athletics_x.evaluation_detail_113,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_1,0,
kinesis_athletics_x.evaluation_detail_114,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_2,0,
kinesis_athletics_x.evaluation_detail_115,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_3,0,
kinesis_athletics_x.evaluation_detail_116,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_4,0,
kinesis_athletics_x.evaluation_detail_117,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_5,0,
kinesis_athletics_x.evaluation_detail_118,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_6,0,
kinesis_athletics_x.evaluation_detail_119,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_7,0,
kinesis_athletics_x.evaluation_detail_120,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_8,0,
kinesis_athletics_x.evaluation_detail_121,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_9,0,
kinesis_athletics_x.evaluation_detail_122,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_10,0,
kinesis_athletics_x.evaluation_detail_123,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_11,0,
kinesis_athletics_x.evaluation_detail_124,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_12,0,
kinesis_athletics_x.evaluation_detail_125,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_13,0,
kinesis_athletics_x.evaluation_detail_126,kinesis_athletics_x.evaluation_1,kinesis_athletics_x.test_14,0,
kinesis_athletics_x.evaluation_detail_127,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_15,,
kinesis_athletics_x.evaluation_detail_128,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_16,,
kinesis_athletics_x.evaluation_detail_129,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_17,,
kinesis_athletics_x.evaluation_detail_130,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_18,,
kinesis_athletics_x.evaluation_detail_131,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_19,,
kinesis_athletics_x.evaluation_detail_132,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_20,,
kinesis_athletics_x.evaluation_detail_133,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_21,,
kinesis_athletics_x.evaluation_detail_134,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_22,,
kinesis_athletics_x.evaluation_detail_135,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_23,,
kinesis_athletics_x.evaluation_detail_136,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_24,,
kinesis_athletics_x.evaluation_detail_137,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_25,,
kinesis_athletics_x.evaluation_detail_138,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_26,,
kinesis_athletics_x.evaluation_detail_139,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_27,,
kinesis_athletics_x.evaluation_detail_140,kinesis_athletics_x.evaluation_2,kinesis_athletics_x.test_28,,
